.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,LocalTime_DDMMYY_HMS,lab,mode,eye_tracking,participant,gender,age,handed,intruct_lang,trial,start_position,rotation_odd,angle_odd,angle,trial_direction,catch_trial,t_stim,position,sequence,eeg_trigger,experiment_time_s,t_trial,block,
0,-1,-1,0,,,25/3/2025_18:46:57,none,default,False,test,Male,56,left,English,7,0,clockwise,right,left,anticlockwise,0,1815.8467998728156,bottom_right,2,33,39.40236519998871,3057.211099890992,2,
0,-1,-1,0,,,25/3/2025_18:46:57,none,default,False,test,Male,56,left,English,7,0,clockwise,right,left,anticlockwise,0,2443.2367000263184,top_right,3,24,39.40320329996757,3057.211099890992,2,
0,-1,-1,0,,,25/3/2025_18:47:0,none,default,False,test,Male,56,left,English,8,0,clockwise,right,right,anticlockwise,3,535.1887999568135,top_left,0,11,42.45567349996418,3046.873199986294,2,
0,-1,-1,0,,,25/3/2025_18:47:0,none,default,False,test,Male,56,left,English,8,0,clockwise,right,left,anticlockwise,3,1122.995899990201,bottom_left,1,42,42.45679029985331,3046.873199986294,2,
0,-1,-1,0,,,25/3/2025_18:47:0,none,default,False,test,Male,56,left,English,8,0,clockwise,right,left,anticlockwise,3,1836.8843998759985,bottom_right,2,33,42.457816699985415,3046.873199986294,2,
0,-1,-1,0,,,25/3/2025_18:47:0,none,default,False,test,Male,56,left,English,8,0,clockwise,right,left,anticlockwise,3,2427.9075998347253,top_right,3,24,42.458694599801674,3046.873199986294,2,
0,-1,-1,0,,,25/3/2025_18:47:6,none,default,False,test,Male,56,left,English,9,2,clockwise,right,left,clockwise,2,542.1054000034928,bottom_right,0,31,48.452139699831605,2992.7767999470234,3,
0,-1,-1,0,,,25/3/2025_18:47:6,none,default,False,test,Male,56,left,English,9,2,clockwise,right,right,clockwise,2,1162.9656997974962,bottom_left,1,42,48.45255499985069,2992.7767999470234,3,
0,-1,-1,0,,,25/3/2025_18:47:6,none,default,False,test,Male,56,left,English,9,2,clockwise,right,left,clockwise,2,1754.853299818933,top_left,2,13,48.45293579995632,2992.7767999470234,3,
0,-1,-1,0,,,25/3/2025_18:47:6,none,default,False,test,Male,56,left,English,9,2,clockwise,right,left,clockwise,2,2377.2520998027176,top_right,3,24,48.45329979993403,2992.7767999470234,3,
0,-1,-1,0,,,25/3/2025_18:47:9,none,default,False,test,Male,56,left,English,10,0,clockwise,right,right,anticlockwise,1,511.6418001707643,top_left,0,11,51.480474499985576,3022.5310001987964,3,
0,-1,-1,0,,,25/3/2025_18:47:9,none,default,False,test,Male,56,left,English,10,0,clockwise,right,left,anticlockwise,1,1086.7969000246376,bottom_left,1,42,51.481013499898836,3022.5310001987964,3,
0,-1,-1,0,,,25/3/2025_18:47:9,none,default,False,test,Male,56,left,English,10,0,clockwise,right,left,anticlockwise,1,1731.1874001752585,bottom_right,2,33,51.48150549991988,3022.5310001987964,3,
0,-1,-1,0,,,25/3/2025_18:47:9,none,default,False,test,Male,56,left,English,10,0,clockwise,right,right,anticlockwise,1,2407.246000133455,top_right,3,24,51.48199119977653,3022.5310001987964,3,
0,-1,-1,0,,,25/3/2025_18:47:12,none,default,False,test,Male,56,left,English,11,0,clockwise,right,left,anticlockwise,0,525.6361998617649,top_left,0,11,54.574096999829635,3087.1584000997245,3,
0,-1,-1,0,,,25/3/2025_18:47:12,none,default,False,test,Male,56,left,English,11,0,clockwise,right,left,anticlockwise,0,1179.5790998730808,bottom_left,1,42,54.57506489986554,3087.1584000997245,3,
0,-1,-1,0,,,25/3/2025_18:47:12,none,default,False,test,Male,56,left,English,11,0,clockwise,right,right,anticlockwise,0,1862.0129998307675,bottom_right,2,33,54.5756949998904,3087.1584000997245,3,
0,-1,-1,0,,,25/3/2025_18:47:12,none,default,False,test,Male,56,left,English,11,0,clockwise,right,left,anticlockwise,0,2475.132399937138,top_right,3,24,54.5762447998859,3087.1584000997245,3,
0,-1,-1,0,,,25/3/2025_18:47:16,none,default,False,test,Male,56,left,English,12,2,clockwise,right,left,anticlockwise,0,581.3423998188227,bottom_right,0,31,57.70777149987407,3126.7440000083297,3,
0,-1,-1,0,,,25/3/2025_18:47:16,none,default,False,test,Male,56,left,English,12,2,clockwise,right,right,anticlockwise,0,1260.9757999889553,top_right,1,22,57.70818249997683,3126.7440000083297,3,
0,-1,-1,0,,,25/3/2025_18:47:16,none,default,False,test,Male,56,left,English,12,2,clockwise,right,left,anticlockwise,0,1891.572599997744,top_left,2,13,57.7085868997965,3126.7440000083297,3,
0,-1,-1,0,,,25/3/2025_18:47:16,none,default,False,test,Male,56,left,English,12,2,clockwise,right,right,anticlockwise,0,2513.134599896148,bottom_left,3,44,57.708977199858055,3126.7440000083297,3,
0,-1,-1,0,,,25/3/2025_18:47:21,none,default,False,test,Male,56,left,English,13,2,clockwise,right,right,anticlockwise,0,519.7216998785734,bottom_right,0,31,63.38145889993757,3186.002800008282,4,
